,Goals,HomeTeam,ShotsFor,ShotsAgainst,ShotsOnTargetFor,ShotsOnTargetAgainst,FoulsFor,FoulsAgainst,CornersFor,CornersAgainst,YellowsFor,YellowsAgainst,RedsFor,RedsAgainst
0,1,1,11,11,5,2,14,9,3,8,1,1,0,0
1,0,0,11,11,2,5,9,14,8,3,1,1,0,0
2,1,1,7,17,4,11,17,12,6,4,5,2,0,1
3,3,0,17,7,11,4,12,17,4,6,2,5,1,0
4,1,1,14,12,6,3,13,14,3,3,4,4,1,0
5,1,0,12,14,3,6,14,13,3,3,4,4,0,1
6,2,1,16,11,4,5,13,14,9,3,2,3,0,0
7,1,0,11,16,5,4,14,13,3,9,3,2,0,0
8,0,1,13,4,2,2,17,11,8,0,1,4,1,0
9,1,0,4,13,2,2,11,17,0,8,4,1,0,1
10,4,1,12,14,7,7,10,16,2,7,3,1,0,0
11,4,0,14,12,7,7,16,10,7,2,1,3,0,0
12,1,1,9,16,2,4,18,15,2,9,2,1,0,0
13,0,0,16,9,4,2,15,18,9,2,1,2,0,0
14,0,1,7,12,2,4,11,17,8,4,2,2,0,0
15,2,0,12,7,4,2,17,11,4,8,2,2,0,0
16,1,1,13,14,4,3,11,19,6,1,2,6,1,0
17,2,0,14,13,3,4,19,11,1,6,6,2,0,1
18,1,1,5,6,5,0,19,22,3,4,3,4,1,1
19,0,0,6,5,0,5,22,19,4,3,4,3,1,1
20,0,1,12,11,0,6,13,14,6,6,1,1,0,0
21,1,0,11,12,6,0,14,13,6,6,1,1,0,0
22,2,1,16,23,4,6,5,9,7,3,1,2,0,0
23,1,0,23,16,6,4,9,5,3,7,2,1,0,0
24,0,1,6,12,2,0,15,12,6,6,4,4,0,0
25,0,0,12,6,0,2,12,15,6,6,4,4,0,0
26,1,1,22,9,4,2,12,11,4,3,2,2,0,0
27,1,0,9,22,2,4,11,12,3,4,2,2,0,0
28,1,1,11,9,6,1,8,12,6,4,1,2,0,0
29,0,0,9,11,1,6,12,8,4,6,2,1,0,0
30,1,1,6,4,2,2,15,11,4,6,2,1,0,0
31,1,0,4,6,2,2,11,15,6,4,1,2,0,0
32,0,1,10,5,2,1,13,10,3,5,3,1,0,0
33,0,0,5,10,1,2,10,13,5,3,1,3,0,0
34,0,1,12,12,4,4,16,12,5,5,1,2,0,0
35,1,0,12,12,4,4,12,16,5,5,2,1,0,0
36,0,1,10,6,4,4,12,13,9,4,4,5,0,0
37,1,0,6,10,4,4,13,12,4,9,5,4,0,0
38,5,1,20,4,7,3,14,12,11,0,1,1,0,0
39,2,0,4,20,3,7,12,14,0,11,1,1,0,0
40,1,1,19,2,5,1,16,9,9,1,4,2,0,0
41,1,0,2,19,1,5,9,16,1,9,2,4,0,0
42,2,1,15,2,5,2,17,17,3,0,2,3,0,0
43,0,0,2,15,2,5,17,17,0,3,3,2,0,0
44,2,1,15,8,5,4,16,9,3,2,3,4,0,0
45,2,0,8,15,4,5,9,16,2,3,4,3,0,0
46,1,1,15,5,1,1,11,17,4,2,3,1,0,0
47,1,0,5,15,1,1,17,11,2,4,1,3,0,0
48,2,1,16,15,3,4,9,10,6,6,2,2,0,0
49,0,0,15,16,4,3,10,9,6,6,2,2,0,0
50,2,1,17,19,5,7,14,15,11,8,4,2,0,0
51,1,0,19,17,7,5,15,14,8,11,2,4,0,0
52,2,1,9,12,4,1,6,19,7,4,0,1,0,0
53,0,0,12,9,1,4,19,6,4,7,1,0,0,0
54,3,1,7,6,3,2,9,15,1,1,0,3,0,0
55,2,0,6,7,2,3,15,9,1,1,3,0,0,0
56,0,1,15,14,3,6,6,13,8,6,2,3,0,0
57,3,0,14,15,6,3,13,6,6,8,3,2,0,0
58,2,1,10,17,5,5,8,14,1,8,1,4,0,1
59,2,0,17,10,5,5,14,8,8,1,4,1,1,0
60,0,1,10,11,1,5,15,18,4,6,4,3,0,0
61,0,0,11,10,5,1,18,15,6,4,3,4,0,0
62,3,1,25,8,11,3,13,10,9,6,2,2,0,0
63,2,0,8,25,3,11,10,13,6,9,2,2,0,0
64,0,1,10,8,4,4,14,11,8,6,2,0,0,0
65,3,0,8,10,4,4,11,14,6,8,0,2,0,0
66,2,1,14,12,5,2,13,10,5,5,1,3,0,0
67,0,0,12,14,2,5,10,13,5,5,3,1,0,0
68,5,1,17,9,10,3,11,11,2,5,1,4,0,0
69,2,0,9,17,3,10,11,11,5,2,4,1,0,0
70,1,1,11,7,1,2,14,16,7,2,2,4,0,1
71,2,0,7,11,2,1,16,14,2,7,4,2,1,0
72,0,1,7,19,0,7,13,7,2,6,5,5,0,0
73,1,0,19,7,7,0,7,13,6,2,5,5,0,0
74,0,1,4,13,0,3,11,13,3,5,4,2,2,0
75,2,0,13,4,3,0,13,11,5,3,2,4,0,2
76,1,1,11,17,1,5,9,10,10,6,0,1,0,0
77,1,0,17,11,5,1,10,9,6,10,1,0,0,0
78,1,1,7,12,2,4,11,28,5,6,3,6,2,0
79,1,0,12,7,4,2,28,11,6,5,6,3,0,2
80,0,1,12,7,6,2,15,9,9,4,1,2,0,0
81,0,0,7,12,2,6,9,15,4,9,2,1,0,0
82,2,1,18,7,6,3,12,8,4,8,2,1,0,0
83,0,0,7,18,3,6,8,12,8,4,1,2,0,0
84,0,1,13,18,4,4,9,11,6,7,0,2,0,0
85,0,0,18,13,4,4,11,9,7,6,2,0,0,0
86,0,1,20,6,5,3,14,12,13,3,3,5,0,0
87,0,0,6,20,3,5,12,14,3,13,5,3,0,0
88,2,1,9,8,4,1,22,12,4,5,3,2,0,0
89,0,0,8,9,1,4,12,22,5,4,2,3,0,0
90,4,1,14,7,5,3,15,17,7,2,4,5,0,0
91,2,0,7,14,3,5,17,15,2,7,5,4,0,0
92,1,1,17,10,3,5,7,12,5,7,1,0,0,0
93,3,0,10,17,5,3,12,7,7,5,0,1,0,0
94,1,1,13,13,4,4,14,23,6,6,3,4,0,0
95,1,0,13,13,4,4,23,14,6,6,4,3,0,0
96,2,1,13,5,4,1,11,19,3,2,1,4,0,0
97,0,0,5,13,1,4,19,11,2,3,4,1,0,0
98,0,1,9,7,0,4,16,15,9,6,3,2,0,0
99,1,0,7,9,4,0,15,16,6,9,2,3,0,0
100,1,1,9,6,5,4,21,18,6,3,3,2,0,0
101,1,0,6,9,4,5,18,21,3,6,2,3,0,0
102,3,1,17,17,5,3,11,11,5,2,2,2,0,0
103,1,0,17,17,3,5,11,11,2,5,2,2,0,0
104,2,1,8,11,4,3,4,13,6,5,4,2,0,0
105,1,0,11,8,3,4,13,4,5,6,2,4,0,0
106,1,1,7,9,3,2,11,12,4,5,0,1,0,0
107,1,0,9,7,2,3,12,11,5,4,1,0,0,0
108,0,1,9,13,3,3,8,15,8,5,3,5,0,1
109,2,0,13,9,3,3,15,8,5,8,5,3,1,0
110,3,1,8,18,4,5,14,26,4,5,1,4,0,0
111,3,0,18,8,5,4,26,14,5,4,4,1,0,0
112,2,1,15,4,4,0,13,13,7,5,2,2,0,0
113,0,0,4,15,0,4,13,13,5,7,2,2,0,0
114,3,1,11,7,4,4,11,19,3,1,3,4,0,0
115,2,0,7,11,4,4,19,11,1,3,4,3,0,0
116,1,1,14,10,3,4,5,17,6,4,2,5,0,0
117,1,0,10,14,4,3,17,5,4,6,5,2,0,0
118,3,1,21,5,7,0,7,20,5,3,1,4,0,1
119,0,0,5,21,0,7,20,7,3,5,4,1,1,0
120,5,1,17,11,10,6,13,8,3,7,2,2,0,0
121,1,0,11,17,6,10,8,13,7,3,2,2,0,0
122,0,1,14,10,3,6,14,12,7,7,2,5,0,0
123,1,0,10,14,6,3,12,14,7,7,5,2,0,0
124,0,1,8,10,1,6,23,17,4,1,4,4,0,1
125,2,0,10,8,6,1,17,23,1,4,4,4,1,0
126,1,1,11,15,4,6,19,12,8,3,3,4,0,0
127,0,0,15,11,6,4,12,19,3,8,4,3,0,0
128,0,1,7,14,1,3,14,14,5,7,1,2,0,0
129,0,0,14,7,3,1,14,14,7,5,2,1,0,0
130,0,1,16,9,2,6,16,13,4,3,2,0,1,0
131,2,0,9,16,6,2,13,16,3,4,0,2,0,1
132,2,1,7,3,3,2,17,15,6,5,3,1,0,0
133,0,0,3,7,2,3,15,17,5,6,1,3,0,0
134,2,1,11,5,6,1,16,14,4,1,2,3,0,0
135,0,0,5,11,1,6,14,16,1,4,3,2,0,0
136,1,1,10,18,5,3,12,12,7,11,6,0,1,0
137,1,0,18,10,3,5,12,12,11,7,0,6,0,1
138,3,1,21,5,8,2,9,8,7,0,1,1,0,0
139,2,0,5,21,2,8,8,9,0,7,1,1,0,0
140,1,1,12,8,3,2,7,20,4,9,3,6,0,1
141,1,0,8,12,2,3,20,7,9,4,6,3,1,0
142,1,1,25,9,10,2,10,7,9,4,3,5,0,0
143,2,0,9,25,2,10,7,10,4,9,5,3,0,0
144,4,1,17,8,10,5,12,18,6,2,4,5,0,0
145,2,0,8,17,5,10,18,12,2,6,5,4,0,0
146,2,1,11,10,3,4,7,16,4,7,1,3,0,0
147,1,0,10,11,4,3,16,7,7,4,3,1,0,0
148,2,1,16,16,4,5,9,15,8,9,2,2,0,0
149,1,0,16,16,5,4,15,9,9,8,2,2,0,0
150,2,1,9,11,3,3,11,11,2,4,1,3,0,0
151,0,0,11,9,3,3,11,11,4,2,3,1,0,0
152,1,1,13,6,2,2,8,20,6,4,0,5,0,0
153,0,0,6,13,2,2,20,8,4,6,5,0,0,0
154,0,1,5,9,1,1,15,14,3,4,6,4,0,0
155,0,0,9,5,1,1,14,15,4,3,4,6,0,0
156,1,1,6,13,3,4,20,15,3,8,2,4,1,0
157,2,0,13,6,4,3,15,20,8,3,4,2,0,1
158,4,1,15,16,8,4,10,12,7,10,5,3,2,0
159,0,0,16,15,4,8,12,10,10,7,3,5,0,2
160,1,1,6,9,2,4,12,17,2,7,2,8,0,1
161,0,0,9,6,4,2,17,12,7,2,8,2,1,0
162,0,1,5,9,0,4,16,14,2,2,5,0,0,0
163,3,0,9,5,4,0,14,16,2,2,0,5,0,0
164,1,1,15,11,4,3,18,12,2,4,2,1,0,1
165,1,0,11,15,3,4,12,18,4,2,1,2,1,0
